activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,applicant_ethnicity_2,applicant_ethnicity_3,applicant_ethnicity_4,applicant_ethnicity_5,co_applicant_ethnicity_1,co_applicant_ethnicity_2,co_applicant_ethnicity_3,co_applicant_ethnicity_4,co_applicant_ethnicity_5,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,aus_2,aus_3,aus_4,aus_5,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,RVDPPPGHCGZ40J4VQ731,99999,MN,27067,27067780400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,325000,73.41,6.5,-0.369,2,5428.93,NA,3077.9,NA,158.82,360,NA,NA,2,2,2,2,445000,1,1,3,5,1,NA,153,38,9,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,5,NA,NA,NA,NA,2,2,1,2,2,2,45-54,45-54,No,No,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,3654,7.33,83600,129,1311,1674,41
2022,RVDPPPGHCGZ40J4VQ731,31084,CA,06037,06037910504,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,2,2,2,1,1,2,2,2,445000,96.5,6.5,0.788,2,17782.4,NA,5293.2,4279.2,NA,360,NA,NA,2,2,2,2,465000,1,1,3,5,1,NA,99,50%-60%,9,2,1,11,NA,NA,NA,11,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,5,NA,NA,NA,NA,2,2,1,2,2,2,35-44,45-54,No,No,2,1,3,NA,NA,NA,NA,10,NA,NA,NA,4857,89.91,91100,54,635,1063,36
2022,RVDPPPGHCGZ40J4VQ731,23420,CA,06019,06019004301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,3,2,1,1,1,2,2,2,315000,80,6.375,-0.312,2,9708.23,NA,7125.28,1058.08,NA,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,162,46,9,3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,2,2,6,NA,NA,NA,NA,6,NA,NA,NA,NA,2,2,3,3,2,2,45-54,>74,No,Yes,2,1,2,NA,NA,NA,NA,10,NA,NA,NA,4181,30.26,72900,222,1379,1712,32
2022,RVDPPPGHCGZ40J4VQ731,35380,LA,22089,22089062301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,2,1,1,1,2,2,2,335000,70.32,7.5,0.608,2,4708.18,NA,1088,NA,1600.14,360,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,85,43,1,10,2,NA,NA,NA,NA,5,NA,NA,NA,NA,2,4,5,NA,NA,NA,NA,8,NA,NA,NA,NA,2,4,1,5,2,4,25-34,9999,No,NA,2,1,2,NA,NA,NA,NA,10,NA,NA,NA,6345,32.23,81800,168,2071,2547,34
2022,RVDPPPGHCGZ40J4VQ731,12060,GA,13089,13089021217,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,445000,95,6.75,0.088,2,10461.55,NA,7347.6,NA,4150.85,360,NA,NA,2,2,2,2,465000,1,1,3,5,1,NA,285,20%-<30%,9,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,5,NA,NA,NA,NA,2,2,1,2,2,2,35-44,35-44,No,No,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,2701,46.83,95700,142,650,788,51
2022,RVDPPPGHCGZ40J4VQ731,40484,NH,33015,33015003902,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,2,2,2,1,1,2,2,2,455000,96.49,7,1.069,2,11610.81,NA,1014,NA,18.04,360,NA,NA,2,2,2,2,455000,1,1,3,5,1,NA,135,43,1,10,2,NA,NA,NA,NA,5,NA,NA,NA,NA,2,4,2,21,NA,NA,NA,8,NA,NA,NA,NA,2,4,1,5,2,4,25-34,9999,No,NA,2,1,3,NA,NA,NA,NA,10,NA,NA,NA,3341,10.66,122500,131,1078,1131,39
2022,RVDPPPGHCGZ40J4VQ731,99999,ID,16067,16067970400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,165000,95,5.875,-0.581,2,8012.1,NA,5597.08,4509.08,NA,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,37,39,2,10,2,NA,NA,NA,NA,5,NA,NA,NA,NA,2,4,5,NA,NA,NA,NA,8,NA,NA,NA,NA,2,4,1,5,2,4,<25,9999,No,NA,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,4738,43.25,71600,78,1109,1805,58
2022,RVDPPPGHCGZ40J4VQ731,31084,CA,06037,06037113323,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,3,2,1,1,1,2,2,2,955000,86.36,6.875,0.235,2,21715.85,NA,14986.5,1833.5,100,360,NA,NA,2,2,2,2,1105000,1,1,3,5,1,NA,183,49,3,9,1,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,5,NA,NA,NA,NA,2,2,2,1,2,2,35-44,35-44,No,No,2,1,2,NA,NA,NA,NA,10,NA,NA,NA,3927,72.7,91100,93,396,549,44
2022,RVDPPPGHCGZ40J4VQ731,42340,GA,13051,13051010815,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,3,2,1,1,1,2,2,2,245000,80,6.999,0.238,2,6927.98,NA,4081.33,3018.16,NA,360,NA,NA,2,2,2,2,315000,1,1,3,5,1,NA,79,45,9,3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,2,2,6,NA,NA,NA,NA,6,NA,NA,NA,NA,2,2,3,3,2,2,65-74,65-74,Yes,Yes,2,1,2,NA,NA,NA,NA,10,NA,NA,NA,3563,61.75,83400,80,728,940,17
2022,RVDPPPGHCGZ40J4VQ731,19740,CO,08001,08001008536,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,2,0,2,1,1,1,2,2,2,385000,90,5.625,-0.926,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,86,49,2,9,3,NA,NA,NA,NA,3,NA,NA,NA,NA,2,2,6,NA,NA,NA,NA,6,NA,NA,NA,NA,2,2,3,3,2,2,45-54,25-34,No,No,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,4353,45,117800,121,1062,1163,14
2022,RVDPPPGHCGZ40J4VQ731,35154,NJ,34023,34023002701,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,3,2,1,1,1,2,2,2,375000,90,6.875,0.177,2,15404.02,NA,10796.5,NA,6958.31,360,NA,NA,2,2,2,2,415000,1,1,3,5,1,NA,113,30%-<36%,2,10,2,NA,NA,NA,NA,5,NA,NA,NA,NA,2,4,2,21,NA,NA,NA,8,NA,NA,NA,NA,2,4,1,5,2,4,25-34,9999,No,NA,2,1,2,NA,NA,NA,NA,10,NA,NA,NA,5705,72.87,128300,73,733,877,45
2022,RVDPPPGHCGZ40J4VQ731,14260,ID,16027,16027020905,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,2,0,2,1,32,1,2,2,1,155000,28.74,7.125,0.541,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,525000,1,3,3,5,1,NA,135,39,2,9,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,5,NA,NA,NA,NA,2,2,1,2,2,2,55-64,45-54,No,No,2,1,2,NA,NA,NA,NA,10,NA,NA,NA,4413,22.71,87000,89,1209,1296,24
2022,RVDPPPGHCGZ40J4VQ731,31084,CA,06037,06037910707,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,2,1,1,2,2,2,485000,95,5.875,0.581,2,25576.94,NA,11934.66,2802.65,NA,360,NA,NA,2,2,2,2,495000,1,1,3,5,1,NA,128,43,9,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,6,NA,NA,NA,NA,2,2,1,1,2,2,35-44,35-44,No,No,2,1,3,NA,NA,NA,NA,10,NA,NA,NA,5968,85.62,91100,71,814,1071,26
2022,RVDPPPGHCGZ40J4VQ731,22744,FL,12011,12011050402,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,3,2,1,1,1,2,2,2,405000,90,6.5,-0.205,2,8221.52,NA,2817.65,2743.65,NA,360,NA,NA,2,2,2,2,455000,1,1,3,5,1,NA,109,44,1,10,3,NA,NA,NA,NA,5,NA,NA,NA,NA,2,4,6,NA,NA,NA,NA,8,NA,NA,NA,NA,2,4,1,5,2,4,35-44,9999,No,NA,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,4569,50.76,82100,89,1248,1241,48
2022,RVDPPPGHCGZ40J4VQ731,35380,LA,22051,22051027817,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,3,2,1,1,1,2,2,2,205000,80,7.375,0.49,2,4316.32,NA,1768.27,2404.48,NA,360,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,69,44,1,9,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,2,26,NA,NA,NA,2,26,NA,NA,NA,2,2,1,2,2,2,45-54,45-54,No,No,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,5985,49.96,81800,120,1506,1840,36
2022,RVDPPPGHCGZ40J4VQ731,16984,IL,17031,17031804603,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,2,2,2,1,1,2,2,2,425000,83.31,7.625,1.506,2,11964.83,NA,416.98,NA,1577.43,360,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,179,38,2,9,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,2,21,NA,NA,NA,2,21,NA,NA,NA,2,2,2,1,2,2,35-44,35-44,No,No,2,1,3,NA,NA,NA,NA,10,NA,NA,NA,5651,58.64,105700,98,896,774,44
2022,RVDPPPGHCGZ40J4VQ731,31084,CA,06037,06037463900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,965000,90,7.625,1.034,2,21613.12,NA,16084.25,NA,8465.63,360,NA,NA,2,2,2,2,1075000,1,1,3,5,1,NA,460,40,2,10,2,NA,NA,NA,NA,5,NA,NA,NA,NA,2,4,5,NA,NA,NA,NA,8,NA,NA,NA,NA,2,4,6,5,2,4,55-64,9999,No,NA,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,3418,41.34,91100,172,770,1132,65
2022,RVDPPPGHCGZ40J4VQ731,99999,NC,37039,37039930502,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,1,2,1,1,1,2,2,1,235000,75,7.5,0.742,2,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,315000,1,3,3,5,1,NA,138,49,9,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,3,NA,NA,NA,NA,2,2,1,2,2,2,25-34,45-54,No,No,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,3587,12.82,66900,103,1325,2312,26
2022,RVDPPPGHCGZ40J4VQ731,15804,NJ,34007,34007609206,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,2,2,2,1,1,2,2,2,335000,88,7,0.942,2,12434.66,NA,2286.63,2286.63,NA,360,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,84,50%-60%,2,10,3,NA,NA,NA,NA,5,NA,NA,NA,NA,2,4,6,NA,NA,NA,NA,8,NA,NA,NA,NA,2,4,1,5,2,4,25-34,9999,No,NA,2,1,3,NA,NA,NA,NA,10,NA,NA,NA,5008,64.4,112900,118,1304,1578,27
2022,RVDPPPGHCGZ40J4VQ731,15980,FL,12071,12071040206,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,1,1,2,2,2,425000,94.54,6.875,0.98,2,15331.05,NA,3715.4,3715.4,NA,360,NA,NA,2,2,2,2,445000,1,1,3,5,1,NA,129,42,9,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,5,NA,NA,NA,NA,2,2,1,2,2,2,35-44,45-54,No,No,2,1,3,NA,NA,NA,NA,10,NA,NA,NA,3382,25.25,83200,118,668,772,14
2022,RVDPPPGHCGZ40J4VQ731,26420,TX,48201,48201454200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,195000,80,6.625,-0.187,2,6188.49,NA,3148.16,2060.16,NA,360,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,63,49,9,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,5,NA,NA,NA,NA,2,2,1,2,2,2,35-44,25-34,No,No,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,3977,87.7,90800,94,949,1235,39
2022,RVDPPPGHCGZ40J4VQ731,42340,GA,13051,13051010817,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,2,3,1,1,2,2,2,295000,100,7.25,0.164,2,3888.55,NA,1014,NA,1988.3,360,NA,NA,2,2,2,2,295000,1,1,3,5,1,NA,76,40,2,10,2,NA,NA,NA,NA,5,NA,NA,NA,NA,2,4,5,NA,NA,NA,NA,8,NA,NA,NA,NA,2,4,2,5,2,4,35-44,9999,No,NA,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,4418,63.4,83400,103,1129,1381,15
2022,RVDPPPGHCGZ40J4VQ731,37964,PA,42101,42101029100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,2,1,1,1,2,2,2,85000,38.1,5.99,0.501,2,4866.95,NA,3004.4,730.4,NA,180,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,38,30%-<36%,1,10,2,NA,NA,NA,NA,5,NA,NA,NA,NA,2,4,2,27,NA,NA,NA,8,NA,NA,NA,NA,2,4,2,5,2,4,55-64,9999,No,NA,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,4826,94.76,75000,25,507,2330,67
2022,RVDPPPGHCGZ40J4VQ731,12060,GA,13121,13121011444,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,1,1,1,2,2,2,665000,95,7.25,0.544,2,5292.1,NA,1088,NA,5539.5,360,NA,NA,2,2,2,2,695000,1,1,3,5,1,NA,155,47,1,10,2,NA,NA,NA,NA,5,NA,NA,NA,NA,2,4,3,NA,NA,NA,NA,8,NA,NA,NA,NA,2,4,2,5,2,4,45-54,9999,No,NA,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,3756,31.76,95700,287,1496,1573,26
2022,RVDPPPGHCGZ40J4VQ731,45780,OH,39095,39095005902,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,2,1,1,1,2,2,2,105000,70,6.99,0.276,2,4535.11,NA,2081.25,2007.25,NA,360,NA,NA,2,2,2,2,155000,1,1,3,5,1,NA,27,42,2,10,2,NA,NA,NA,NA,5,NA,NA,NA,NA,2,4,5,NA,NA,NA,NA,8,NA,NA,NA,NA,2,4,2,5,2,4,55-64,9999,No,NA,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,4356,24.38,78800,88,1096,1643,61
2022,RVDPPPGHCGZ40J4VQ731,49340,CT,09015,09015800501,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,1,1,2,2,2,255000,92.8,6.375,0.756,2,14943.39,NA,8288.08,1279.4,NA,360,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,68,45,2,9,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,5,NA,NA,NA,NA,2,2,1,2,2,2,35-44,25-34,No,No,2,1,3,NA,NA,NA,NA,10,NA,NA,NA,3804,47.21,107900,41,783,1012,47
2022,RVDPPPGHCGZ40J4VQ731,45300,FL,12057,12057011712,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,0,2,1,1,1,2,2,2,225000,80,7.675,0.846,2,5297.91,NA,1473.46,1399.46,NA,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,111,36,2,9,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,3,NA,NA,NA,NA,2,2,1,2,2,2,45-54,45-54,No,No,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,5738,49.23,82100,79,1219,1386,43
2022,RVDPPPGHCGZ40J4VQ731,15804,NJ,34007,34007607100,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,1,1,2,2,2,285000,96.5,6.625,0.812,2,11342.39,NA,3175.5,3175.5,NA,360,NA,NA,2,2,2,2,285000,1,1,3,5,1,NA,142,48,2,9,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,5,NA,NA,NA,NA,5,NA,NA,NA,NA,2,2,1,2,2,2,25-34,25-34,No,No,2,1,3,NA,NA,NA,NA,10,NA,NA,NA,3742,15.93,112900,93,1131,1469,64
2022,RVDPPPGHCGZ40J4VQ731,43420,AZ,04003,04003001502,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,2,1,1,1,2,2,2,125000,96.83,7.625,1.157,2,2869.95,NA,1088,NA,2893.17,360,NA,NA,2,2,2,2,135000,1,1,3,5,1,NA,110,20%-<30%,3,10,11,1,NA,NA,NA,5,NA,NA,NA,NA,2,4,5,NA,NA,NA,NA,8,NA,NA,NA,NA,2,4,1,5,2,4,25-34,9999,No,NA,2,1,1,NA,NA,NA,NA,10,NA,NA,NA,3633,52.63,64500,67,982,1626,48
